timestamp,batch_guid,database,model,total_requests,mean_latency_ms,test_duration_config,energy_j,mean_power_w,mean_cpu_percent,mean_memory_gb
20251021-150442,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,227.412862,44.84,1961.490662,43.746103,93.60115,20.580403
20251021-150532,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,224.059738,44.02,1922.075378,43.659734,93.235721,20.590976
20251021-150622,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,301.46644,55.65,2466.469543,44.319346,94.456624,20.607769
20251021-150723,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,302.812943,61.24,2562.217896,41.838211,86.013411,20.606376
20251021-150830,9991B95F-5B9F-4149-B002-BD78E138F629,healthcare-dataset-stroke,lgbm,15000,301.065814,55.64,2463.565125,44.276163,94.048054,20.6126
20251021-150957,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,15000,301.387076,56.04,2473.483826,44.134756,94.154944,20.60206
20251021-151058,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14915,333.422792,60.24,2683.289307,44.544784,95.130148,20.612064
20251021-151204,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,15000,337.443723,61.26,2687.847778,43.878515,93.99514,20.612024
20251021-151311,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14796,337.090635,60.03,2649.400024,44.133681,95.677774,20.61142
20251021-151417,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14632,348.223334,61.44,2671.137512,43.474785,93.678698,20.610212
20251021-151524,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14899,340.349852,61.43,2669.386292,43.450999,93.806962,20.610023
20251021-151631,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,15000,337.488077,61.26,2667.930603,43.550827,94.442015,20.614599
20251021-151738,74488C6B-DACE-4E6A-87C3-1B9E664ABAE4,UNSW_NB15_merged,lgbm,14841,336.2484,60.11,2641.906799,43.948486,95.771991,20.616127
